종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"021240","코웨이","KOSPI",,"83700","-1800","-2.11","84900","85900","83600","0.0","22185695850","6018794432100","72.0"
"056360","코위버","KOSDAQ","벤처기업부","5340","50","0.95","5290","5410","5290","0.0","119606310","52314912000","10.0"
"282880","코윈테크","KOSDAQ","우량기업부","15480","-240","-1.53","15740","16090","15400","0.0","2099110110","177545847600","11.0"
"121850","코이즈","KOSDAQ","벤처기업부","4275","-85","-1.95","4395","4410","4180","0.0","183411002","13087557675","3.0"
"448710","코츠테크놀로지","KOSDAQ","벤처기업부","17770","120","0.68","17790","17980","17300","0.0","1188440055","93480666530","5.0"
"126730","코칩","KOSDAQ","벤처기업부","15000","160","1.08","15000","15290","14840","0.0","1146471720","127551900000","9.0"
"015710","코콤","KOSDAQ","중견기업부","3525","10","0.28","3560","3560","3510","0.0","37320060","61795012500","18.0"
"052330","코텍","KOSDAQ","우량기업부","9000","-20","-0.22","9090","9090","8780","0.0","151704160","159854301000","18.0"
"322780","코퍼스코리아","KOSDAQ","중견기업부","895","25","2.87","870","915","863","0.0","385810411","38421131905","43.0"
"036420","콘텐트리중앙","KOSPI",,"9590","-350","-3.52","9950","10010","9390","0.0","901072975","184725533720","19.0"
"200130","콜마비앤에이치","KOSDAQ GLOBAL","우량기업부","12900","-240","-1.83","13250","13250","12890","0.0","576918500","379460698200","29.0"
"024720","콜마홀딩스","KOSPI",,"9790","-30","-0.31","9950","9950","9730","0.0","483091745","335760375610","34.0"
"294570","쿠콘","KOSDAQ","우량기업부","29650","550","1.89","29100","29750","28900","0.0","922098550","299219853800","10.0"
"192400","쿠쿠홀딩스","KOSPI",,"28500","-350","-1.21","28800","28850","28200","0.0","670573225","1013522272500","36.0"
"284740","쿠쿠홈시스","KOSPI",,"23300","-400","-1.69","23800","23800","23200","0.0","348604900","522789789000","22.0"
"464490","쿼드메디슨","KOSDAQ","기술성장기업부","14990","490","3.38","14210","15630","14210","1.0","11057088750","170008230570","11.0"
"317690","퀀타매트릭스","KOSDAQ","기술성장기업부","5090","-70","-1.36","5220","5280","4950","0.0","1686682280","99680656340","20.0"
"432720","퀄리타스반도체","KOSDAQ","기술성장기업부","15010","-380","-2.47","16000","16190","14750","1.0","8436529890","212286610120","14.0"
"456190","큐라켐","KONEX","일반기업부","7200","0","0.00","0","0","0","0.0","0","12630859200","2.0"
"365270","큐라클","KOSDAQ","기술성장기업부","8800","620","7.58","8180","8850","8010","0.0","4239182860","184880564000","21.0"
"348080","큐라티스","KOSDAQ","투자주의환기종목(소속부없음)","1300","-6","-0.46","1345","1345","1250","0.0","382343442","106322832200","82.0"
"060280","큐렉소","KOSDAQ","중견기업부","13210","-390","-2.87","13490","13500","13110","0.0","6443914180","542798767900","41.0"
"372320","큐로셀","KOSDAQ","기술성장기업부","49000","2500","5.38","46400","49500","45350","0.0","7898251900","707198086000","14.0"
"051780","큐로홀딩스","KOSDAQ","중견기업부","1154","-50","-4.15","1217","1217","1133","0.0","200243799","29786176730","26.0"
"115180","큐리언트","KOSDAQ","벤처기업부","30700","1250","4.24","28700","30800","28400","0.0","5501123025","1105503991400","36.0"
"494120","큐리오시스","KOSDAQ","기술성장기업부","56200","5300","10.41","52000","56600","50100","0.0","11305726150","427461808400","8.0"
"445680","큐리옥스바이오시스템즈","KOSDAQ","기술성장기업부","117800","-1700","-1.42","117100","119300","112500","0.0","10932091050","2016716327400","17.0"
"182360","큐브엔터","KOSDAQ","우량기업부","13400","-860","-6.03","14270","14570","13400","0.0","2541354300","208367976600","16.0"
"405100","큐알티","KOSDAQ","우량기업부","17120","-630","-3.55","17760","18200","16930","0.0","3097561635","210392833120","12.0"
"066310","큐에스아이","KOSDAQ","벤처기업부","7670","180","2.40","7570","7740","7550","0.0","628849715","71113333070","9.0"
"136660","큐엠씨","KONEX","일반기업부","1500","80","5.63","1500","1500","1500","0.0","31500","3541425000","2.0"
"016600","큐캐피탈","KOSDAQ","벤처기업부","244","-2","-0.81","246","247","242","0.0","98862230","43492295328","178.0"
"355390","크라우드웍스","KOSDAQ","기술성장기업부","3505","55","1.59","3475","3550","3420","0.0","347202692","47679131880","14.0"
"264900","크라운제과","KOSPI",,"8700","-80","-0.91","8780","8780","8700","0.0","95582060","108957495000","13.0"
"26490K","크라운제과우","KOSPI",,"9640","-210","-2.13","9830","9860","9600","0.0","26628400","7457118400","1.0"
"005740","크라운해태홀딩스","KOSPI",,"6690","-40","-0.59","6810","6990","6660","0.0","248202920","99328751430","15.0"
"005745","크라운해태홀딩스우","KOSPI",,"8220","-40","-0.48","8260","8260","8070","0.0","19018880","4937967720","1.0"
"259960","크래프톤","KOSPI",,"246000","-2000","-0.81","250500","251000","243000","0.0","18025973500","11661342426000","47.0"
"096240","크레버스","KOSDAQ","우량기업부","12120","-110","-0.90","12240","12330","12000","0.0","448747935","134994741600","11.0"
"040350","크레오에스지","KOSDAQ","투자주의환기종목(소속부없음)","1010","13","1.30","997","1013","975","0.0","428460389","98578687610","98.0"
"215570","크로넥스","KONEX","일반기업부","1098","63","6.09","1100","1100","880","0.0","8168302","6226180452","6.0"
"110790","크리스에프앤씨","KOSDAQ","우량기업부","4130","75","1.85","4045","4150","4030","0.0","116900415","96769864800","23.0"
"900250","크리스탈신소재","KOSDAQ","외국기업(소속부없음)","735","8","1.10","730","747","724","1.0","419254087","96020402940","131.0"
"045520","크린앤사이언스","KOSDAQ","중견기업부","3430","-40","-1.15","3465","3470","3430","0.0","63166750","22295000000","7.0"
"214150","클래시스","KOSDAQ GLOBAL","우량기업부","56600","-2000","-3.41","58600","58600","55700","0.0","14425152600","3707620299400","66.0"
"466100","클로봇","KOSDAQ","기술성장기업부","61300","-1700","-2.70","62000","62100","59400","1.0","56710721000","1532018120700","25.0"
"237880","클리오","KOSDAQ","우량기업부","13930","30","0.22","14010","14010","13700","0.0","915385770","251733947290","18.0"
"139670","키네마스터","KOSDAQ","중견기업부","2680","0","0.00","2680","2695","2470","0.0","1114339180","37838410800","14.0"
"020120","키다리스튜디오","KOSPI",,"3500","-115","-3.18","3610","3645","3455","0.0","361696454","129723181000","37.0"
"475430","키스트론","KOSDAQ","중견기업부","4690","-150","-3.10","4835","4835","4690","0.0","862007898","83707635900","18.0"
"487720","키움제10호스팩","KOSDAQ","SPAC(소속부없음)","2090","0","0.00","2095","2095","2085","0.0","846565","8840700000","4.0"
"489480","키움제11호스팩","KOSDAQ","SPAC(소속부없음)","2045","-5","-0.24","2045","2050","2045","0.0","10460980","13497000000","7.0"
"039490","키움증권","KOSPI",,"299000","-2500","-0.83","297000","308000","293500","0.0","37432850000","7990584836000","27.0"
"466690","키움히어로제1호스팩","KOSDAQ","SPAC(소속부없음)","1992","-5","-0.25","1996","1999","1988","0.0","173400971","10149240000","5.0"
